date,value
2016-09-26,76
2016-09-19,89
2016-09-12,88
2016-09-05,85
2016-08-29,80
2016-08-22,73
2016-08-15,72
2016-08-08,75
2016-08-01,78
2016-07-25,84
2016-07-18,82
2016-07-11,80
