date,value
2016-09-26,92
2016-09-19,93
2016-09-12,90
2016-09-05,89
2016-08-29,83
2016-08-22,82
2016-08-15,76
2016-08-08,72
2016-08-01,78
2016-07-25,86
2016-07-18,90
2016-07-11,85
2016-07-04,80
2016-06-27,79
2016-06-20,80
2016-06-13,81
2016-06-06,81
2016-05-30,80
2016-05-23,82
2016-05-16,83
2016-05-09,75
2016-05-02,79
2016-04-25,78
2016-04-18,76
