date,value
2016-09-26,82
2016-09-19,82
2016-09-12,81
2016-09-05,81
2016-08-29,75
2016-08-22,68
2016-08-15,75
2016-08-08,81
2016-08-01,83
2016-07-25,82
2016-07-18,83
2016-07-11,88
2016-07-04,86
2016-06-27,85
2016-06-20,83
2016-06-13,83
2016-06-06,82
2016-05-30,81
2016-05-23,80
2016-05-16,83
2016-05-09,82
2016-05-02,83
2016-04-25,83
2016-04-18,85
