date,value
2016-09-26,86
2016-09-19,82
2016-09-12,78
2016-09-05,74
2016-08-29,80
2016-08-22,67
2016-08-15,66
2016-08-08,68
2016-08-01,75
2016-07-25,74
2016-07-18,72
2016-07-11,70
2016-07-04,68
2016-06-27,65
2016-06-20,67
2016-06-13,67
2016-06-06,68
2016-05-30,64
2016-05-23,62
2016-05-16,65
2016-05-09,69
2016-05-02,63
2016-04-25,62
2016-04-18,60
